我想報失信用卡,Report_lost_card
我張信用卡唔見左,Report_lost_card
我搵唔到張信用卡,Report_lost_card
我張信用卡唔知擺咗去邊,Report_lost_card
我懷疑張信用卡畀人盜用,Report_lost_card
我想停咗張信用卡,Report_lost_card
我想報失張 visa卡,Report_lost_card
我唔見咗張 master card,Report_lost_card
我想報失張 visa 卡,Report_lost_card
我唔見咗張 master 卡,Report_lost_card
我想報失張提款卡,Report_lost_card
我張提款卡唔見左,Report_lost_card
我張提款卡唔知擺咗喺邊,Report_lost_card
我懷疑有人盜用我張提款卡,Report_lost_card
我畀人撳咗錢,Report_lost_card
我張信用卡有筆簽賬唔係我簽嘅,Report_lost_card
我唔見咗銀包,Report_lost_card
我想豁免年費,credit_card
我想問下張信用卡嘅申請狀況,credit_card
我想問下而家有冇邊張信用卡有優惠,credit_card
我想問下信用卡嘅結餘,credit_card
我想問下張信用卡嘅信用額係幾多,credit_card
我張visa卡嘅年費幾多,credit_card
我張master卡有冇收年費,credit_card
信用卡利息,credit_card
信用卡嘅申請資格,credit_card
喺邊度申請張信用卡,credit_card
張信用卡最低還款額係幾多,credit_card
我想問下可唔可以幫我暫時提升credit limit,credit_card
我張信用卡嘅信用卡係幾多呀,credit_card
我可唔可以申請提升信用額,credit_card
我碌咗美金可唔可以用港紙找數,credit_card
我張卡碌唔到,credit_card
我張信用卡有筆數唔係好明,Bank_Account_Deposit
我想查詢銀行戶口,Bank_Account_Deposit
而家我個saving account仲有幾多錢,Bank_Account_Deposit
張提款卡每年年費幾多,Bank_Account_Deposit
我點樣登記出糧戶口,Bank_Account_Deposit
我想申請自動轉帳,Bank_Account_Deposit
而家個匯率係幾多,Bank_Account_Deposit
我想做定期,Bank_Account_Deposit
定期利息係幾多,Bank_Account_Deposit
做定期有咩年期可以揀,Bank_Account_Deposit
有冇外幣定期,Bank_Account_Deposit
美金定期,Bank_Account_Deposit
我想問下匯價,Bank_Account_Deposit
我想申請支票戶口,Bank_Account_Deposit
我個儲蓄戶口有筆數唔係好明,Bank_Account_Deposit
我current戶口可唔可以透支,Bank_Account_Deposit
我current戶口有冇透支額,Bank_Account_Deposit
透支嘅利息係幾多,Bank_Account_Deposit
可唔可以喺呢度轉帳,Bank_Account_Deposit
可唔可以打上捐款呀,Bank_Account_Deposit
我想攞返銀行簿以前啲紀錄,Bank_Account_Deposit
我本紅簿仔唔見咗,Bank_Account_Deposit
我想問下個運籌戶口同個人明智理財有咩唔同,Bank_Account_Deposit
有冇啲儲錢計劃,Bank_Account_Deposit
你哋有冇旅遊保險呀,Insurance
有冇家居保險,Insurance
保費幾多,Insurance
投保額最大係幾多,Insurance
投保額係點計出嚟,Insurance
了解多啲人就保險,Insurance
有冇定期保險賣,Insurance
你同安盛保險有咩關係,Insurance
我想了解保單資料,Insurance
想了解下啲醫療plan,Insurance
claim保險,Insurance
問下今年保費幾多,Insurance
有冇醫療保險,Insurance
醫療保險保費點計,Insurance
有冇門診保險,Insurance
想了解多啲僱傭保險,Insurance
想買汽車保險,Insurance
有乜嘢意外保險買,Insurance
索償方式,Insurance
我唔見咗張保單,Insurance
有冇淨係火險買呀,Insurance
有冇啲儲錢保險計劃,Insurance
危疾plan包幾多種疾病,Insurance
點樣將其他銀行嘅mpf搬過嚟,MPF
點查返mpf戶口有幾錢,MPF
啲強積金有乜嘢計劃,MPF
有冇個人強積金戶口,MPF
個強積金戶口可唔可以唔跟僱主,MPF
幾時可以攞得返強積金有邊啲錢,MPF
強積金有乜投資計劃,MPF
我唔係咁睇得明強積金個月結單,MPF
可唔可以將mpf入面啲錢搬去中銀,MPF
我想問下啲貸款計劃,Personal_Loans_Mortgages
宜家貸款利息係幾多,Personal_Loans_Mortgages
有冇啲無抵押貸款計劃,Personal_Loans_Mortgages
貸款計劃有幾多種,Personal_Loans_Mortgages
我想了解多啲personal loan嘅計劃,Personal_Loans_Mortgages
我想轉按層樓,Personal_Loans_Mortgages
而家樓宇按揭嘅利息係點計,Personal_Loans_Mortgages
我想了解多啲按揭嘅計劃,Personal_Loans_Mortgages
請問下個還款期可唔可以延遲,Personal_Loans_Mortgages
開股票戶口,Investment
有冇孖展戶口,Investment
外匯戶口,Investment
有冇啲供股計劃,Investment
股票戶口最少要擺幾多現金,Investment
期貨戶口,Investment
我個戶口可唔可以買美國股票,Investment
點樣攞返實體股票,Investment
有冇即時報價,Investment
孖展戶口收費幾多,Investment
你哋有冇實物股票嘅服務,Investment
我個股票戶口可唔可以買倫敦股票㗎,Investment
我點樣買到美國股票,Investment
我想了解多啲認股證,Investment
點樣可以了解多啲牛熊證呀,Investment
我個銀行戶口可唔可以睇到股票即時報價,Investment
我點樣可以理解多啲股票交易執行嘅情況,Investment
我點知個交易已經成交咗,Investment
我點樣全港股股票入我個交易戶口,Investment
我點樣喺我戶口攞返啲股票,Investment
我可唔可以買牛熊證㗎,Investment
搵唔到銀行結餘個版面,Other
唔記得咗網上銀行嘅密碼,Other
點樣開網上理財戶口,Other
唔記得咗電話理財密碼,Other
我張提款卡可唔可以大陸撳錢,Other
點樣用轉數快,Other
九龍灣嘅分行喺邊,Other
黃大仙有冇分行,Other
慈雲山有冇分行,Other
荃灣分行地址喺邊度,Other
唔記得咗電話理財個密碼使唔使落分行交,Other
